filename,prompt
tile_bullet_n.png,"Pixel art 32x32 game tile, top-down view, transparent background, yellow upward-pointing arrow on a dark square tile, representing a northward bullet ammunition, retro 16-bit style, clean crisp pixels"
tile_bullet_s.png,"Pixel art 32x32 game tile, top-down view, transparent background, amber downward-pointing arrow on a dark square tile, representing a southward bullet ammunition, retro 16-bit style, clean crisp pixels"
tile_bullet_e.png,"Pixel art 32x32 game tile, top-down view, transparent background, blue right-pointing arrow on a dark square tile, representing an eastward bullet ammunition, retro 16-bit style, clean crisp pixels"
tile_bullet_w.png,"Pixel art 32x32 game tile, top-down view, transparent background, purple left-pointing arrow on a dark square tile, representing a westward bullet ammunition, retro 16-bit style, clean crisp pixels"
tile_grenade.png,"Pixel art 32x32 game tile, top-down view, transparent background, red grenade or round bomb icon with a short fuse on a dark square tile, retro 16-bit style, clean crisp pixels"
tile_gasoline.png,"Pixel art 32x32 game tile, top-down view, transparent background, orange gasoline can with a small flame icon on a dark square tile, retro 16-bit style, clean crisp pixels"
tile_medkit.png,"Pixel art 32x32 game tile, top-down view, transparent background, green square with a red cross medical symbol, first aid medkit on a dark tile, retro 16-bit style, clean crisp pixels"
tile_heavy_n.png,"Pixel art 32x32 game tile, top-down view, transparent background, yellow upward-pointing arrow with a glowing white border and enhanced glow effect, powered-up bullet north, retro 16-bit style, clean crisp pixels"
tile_heavy_s.png,"Pixel art 32x32 game tile, top-down view, transparent background, amber downward-pointing arrow with a glowing white border and enhanced glow effect, powered-up bullet south, retro 16-bit style, clean crisp pixels"
tile_heavy_e.png,"Pixel art 32x32 game tile, top-down view, transparent background, blue right-pointing arrow with a glowing white border and enhanced glow effect, powered-up bullet east, retro 16-bit style, clean crisp pixels"
tile_heavy_w.png,"Pixel art 32x32 game tile, top-down view, transparent background, purple left-pointing arrow with a glowing white border and enhanced glow effect, powered-up bullet west, retro 16-bit style, clean crisp pixels"
bunker.png,"Pixel art 48x48 top-down view military bunker or fortress, transparent background, grey reinforced concrete structure with small turret details, sandbags, and fortification elements, viewed from directly above, retro 16-bit style, clean crisp pixels"
tile_rocket.png,"Pixel art 32x32 game tile, top-down view, transparent background, red rocket or missile icon with a glowing white border, enhanced grenade power-up, retro 16-bit style, clean crisp pixels"
tile_napalm.png,"Pixel art 32x32 game tile, top-down view, transparent background, orange intense flame icon with a glowing white border, enhanced gasoline power-up, retro 16-bit style, clean crisp pixels"
tile_mega_medkit.png,"Pixel art 32x32 game tile, top-down view, transparent background, bright green medkit with a large glowing red cross and white border, enhanced healing power-up, retro 16-bit style, clean crisp pixels"
tile_airstrike.png,"Pixel art 32x32 game tile, top-down view, transparent background, white and bright glowing crosshair or star icon on a dark tile, representing a powerful airstrike ability, retro 16-bit style, clean crisp pixels"
zombie_walker.png,"Pixel art 32x32 top-down view zombie character, transparent background, green-skinned standard humanoid zombie with outstretched arms, viewed from directly above, retro 16-bit style, clean crisp pixels"
zombie_runner.png,"Pixel art 32x32 top-down view zombie character, transparent background, yellow-green skinned thinner and smaller fast zombie in a running pose, viewed from directly above, retro 16-bit style, clean crisp pixels"
zombie_tank.png,"Pixel art 32x32 top-down view zombie character, transparent background, dark green bulky and wide heavily-built zombie, muscular and imposing, viewed from directly above, retro 16-bit style, clean crisp pixels"
zombie_boss.png,"Pixel art 32x32 top-down view zombie character, transparent background, purple-skinned largest and most menacing boss zombie with glowing eyes, viewed from directly above, retro 16-bit style, clean crisp pixels"
particle_explosion.png,"Pixel art 8x8 tiny explosion particle, transparent background, small bright orange and red circular dot or spark, used as a particle effect in explosions, retro 16-bit style, clean crisp pixels"
bullet_trail.png,"Pixel art 16x4 small elongated bullet projectile, transparent background, bright yellow horizontal capsule or streak shape, used as a bullet trail effect, retro 16-bit style, clean crisp pixels"
b
